YearsProgr,PersonalProj,Gender,WorkType,Company,Supervising,Studies,RelativeComp,AnnualNetSalary,Employer,Employee,observation_count
13,Yes,Man,Hybrid,501plus,No,Bachelor,Yes,39361,Greece,Greece,2
7,Yes,Man,Remote,201to500,No,Bachelor,Yes,30142,Greece,Greece,1
1,No,Man,Remote,1to10,No,Bachelor,Yes,8450,Greece,Greece,3
2,No,Man,Remote,501plus,No,Master,Yes,30551,Abroad,Abroad,2
3,Yes,Man,Remote,51to100,Yes,Bachelor,Yes,20351,Greece,Greece,1
1,Yes,Man,Remote,1to10,No,Bachelor,Yes,12600,Greece,Greece,2
4,Yes,Man,Remote,11to50,No,Bachelor,Yes,18242,Greece,Greece,1
4,Yes,Man,Hybrid,101to200,No,Bachelor,Yes,23363,Greece,Greece,1
1,No,Man,Remote,501plus,No,High School,Other,9600,Greece,Greece,2
3,No,Man,Remote,1to10,No,Master,Yes,10944,Greece,Greece,2
6,No,Man,Remote,11to50,No,High School,Other,47000,Abroad,Greece,1
6,Yes,Man,Remote,11to50,No,Master,Yes,29078,Greece,Greece,1
5,Yes,Man,Remote,11to50,No,Bachelor,Yes,22400,Greece,Greece,1
1,No,Man,Remote,11to50,Yes,Master,Yes,8500,Abroad,Abroad,2
1,No,Man,Onsite,501plus,No,Bachelor,Yes,18000,Greece,Greece,1
6,Yes,Man,Remote,501plus,Yes,Bachelor,Other,36000,Abroad,Greece,1
1,Yes,Man,Remote,101to200,No,Bachelor,Yes,37800,Abroad,Greece,2
3,No,Man,Remote,201to500,No,Master,Yes,18000,Greece,Greece,3
10,Yes,Man,Hybrid,11to50,No,Post-secondary Education,Yes,20000,Greece,Greece,3
1,No,Man,Hybrid,501plus,No,Bachelor,Yes,36000,Abroad,Abroad,2
4,No,Man,Remote,51to100,Yes,Bachelor,Yes,50000,Abroad,Greece,2
7,No,Man,Hybrid,201to500,No,Bachelor,Yes,26000,Greece,Greece,3
5,No,Man,Remote,501plus,No,Master,Yes,30000,Greece,Greece,1
8,No,Man,Hybrid,201to500,No,Master,Yes,30000,Greece,Greece,1
5,Yes,Man,Remote,201to500,No,Master,Other,36000,Greece,Greece,2
2,Yes,Man,Remote,11to50,Yes,High School,Other,40000,Abroad,Abroad,3
2,Yes,Man,Remote,1to10,No,Bachelor,Yes,11600,Greece,Greece,2
1,Yes,Man,Remote,1to10,No,Post-secondary Education,Yes,8400,Greece,Greece,2
1,Yes,Man,Remote,501plus,No,Bachelor,Yes,13000,Abroad,Greece,1
6,Yes,Man,Remote,1to10,No,High School,Other,19200,Greece,Greece,1
4,No,Man,Remote,201to500,No,Bachelor,Yes,38000,Greece,Greece,1
2,No,Man,Hybrid,501plus,No,Master,Yes,16800,Greece,Greece,3
2,Yes,Man,Remote,11to50,No,Master,Other,27000,Abroad,Greece,2
1,No,Man,Remote,51to100,No,Bachelor,Yes,15200,Greece,Greece,1
1,No,Man,Remote,501plus,No,Bachelor,Yes,1036,Greece,Greece,2
3,Yes,Man,Hybrid,11to50,No,High School,Other,19600,Greece,Greece,2
2,No,Man,Onsite,11to50,No,Master,Yes,18100,Greece,Greece,2
2,Yes,Man,Remote,1to10,Yes,High School,Other,40000,Abroad,Greece,4
1,Yes,Man,Onsite,51to100,Yes,Bachelor,Yes,8000,Greece,Greece,1
8,Yes,Man,Hybrid,501plus,No,Bachelor,Yes,25000,Greece,Greece,2
3,Yes,Man,Hybrid,51to100,Yes,Bachelor,Yes,16000,Greece,Greece,2
1,Yes,Man,Remote,101to200,No,High School,Other,15000,Greece,Greece,1
2,No,Man,Hybrid,501plus,No,Bachelor,Yes,13300,Greece,Greece,1
3,Yes,Man,Remote,11to50,No,High School,Other,1787,Greece,Greece,4
4,Yes,Man,Remote,501plus,No,Post-secondary Education,Yes,25000,Greece,Greece,2
2,Yes,Man,Remote,501plus,No,Post-secondary Education,Other,33600,Abroad,Greece,5
6,Yes,Man,Hybrid,11to50,Yes,Master,Yes,26600,Greece,Greece,1
12,Yes,Man,Remote,501plus,Yes,Master,Yes,55000,Greece,Greece,3
2,No,Man,Hybrid,501plus,No,Master,Yes,13300,Greece,Greece,1
1,No,Man,Remote,1to10,No,Bachelor,Yes,15000,Greece,Greece,3
6,Yes,Man,Remote,1to10,Yes,Bachelor,Yes,30000,Abroad,Greece,2
4,Yes,Man,Remote,51to100,No,Bachelor,Yes,20300,Greece,Greece,3
1,Yes,Man,Onsite,201to500,No,Bachelor,Yes,15400,Greece,Greece,1
